Country,GA_Name,Formed,Description,Off_website,Address,Jurisdiction,wiki_infobox
Cambodia,Ministry of Environment,1993,"The Ministry of Environment is a government ministry of Cambodia.The current Minister of Environment is Say Sam Al, succeeding Mok Mareth in 2013.",www.moe.gov.kh/,"48 Preah Sihanouk Boulevard, Phnom Penh, Cambodia 12301",,"{'ក្រសួងបរិស្ថាន': 'ក្រសួងបរិស្ថាន', nan: nan, 'Agency overview': 'Agency overview', 'Formed': '1993', 'Jurisdiction': 'Government of Cambodia', 'Headquarters': '48 Preah Sihanouk Boulevard, Phnom Penh, Cambodia 12301', 'Minister responsible': 'Say Sam Al, Minister of Environment', 'Website': 'www.moe.gov.kh/'}"
Cambodia,"Ministry of Agriculture, Forestry and Fisheries",,"The Ministry of Agriculture, Forestry and Fisheries is the government ministry of Cambodia that is responsible for governing activities of agriculture, forestry and the fishery industry in Cambodia.",maff.gov.kh,"Mao Tse Toung Blvd, Phnom Penh, Cambodia",,"{'ក្រសួងកសិកម្ម រុក្ខាប្រមាញ់ និងនេសាទ': 'ក្រសួងកសិកម្ម រុក្ខាប្រមាញ់ និងនេសាទ', nan: nan, 'Agency overview': 'Agency overview', 'Jurisdiction': 'Government of Cambodia', 'Headquarters': 'Mao Tse Toung Blvd, Phnom Penh, Cambodia', 'Minister responsible': 'Veng Sakhon, Minister of Agriculture, Forestry and Fisheries', 'Website': 'maff.gov.kh'}"
Cambodia,Ministry of Public Works and Transport,24 January 1996,"The Ministry of Public Works and Transport is the government ministry responsible for public works and transport in Cambodia. The Ministry is mandated to ""build, maintain and manage all the transportation infrastructure such as roads, bridges, ports, railways, waterways and buildings"" in the nation.",http://www.mpwt.gov.kh,"Preah Norodom Blvd. Sangkat Wat Phnom, Phnom Penh, Cambodia 12000",,"{'ក្រសួងសាធារណៈការ និងដឹកជញ្ជូន': 'ក្រសួងសាធារណៈការ និងដឹកជញ្ជូន', nan: nan, 'Agency overview': 'Agency overview', 'Formed': '24 January 1996', 'Jurisdiction': 'Government of Cambodia', 'Headquarters': 'Preah Norodom Blvd. Sangkat Wat Phnom, Phnom Penh, Cambodia 12000', 'Annual budget': '$735.7 million (2019)[1]', 'Minister responsible': 'Sun Chanthol, Minister of Public Works and Transport', 'Website': 'http://www.mpwt.gov.kh'}"
Cambodia,Ministry of Foreign Affairs and International Cooperation,,"The Ministry of Foreign Affairs and International Cooperation is the government ministry responsible for representing Cambodia to the international community. The ministry oversees the foreign relations of Cambodia, maintains diplomatic missions in other countries, and provides visa services.",www.mfaic.gov.kh,"No. 3, Samdech Hun Sen Street, Tonle Basac Quarter, Chamkarmon District, Phnom Penh 12207",,"{'ក្រសួងការបរទេស និងសហប្រតិបត្តិការអន្តរជាតិ': 'ក្រសួងការបរទេស និងសហប្រតិបត្តិការអន្តរជាតិ', nan: nan, 'Ministry overview': 'Ministry overview', 'Jurisdiction': 'Government of Cambodia', 'Headquarters': 'No. 3, Samdech Hun Sen Street, Tonle Basac Quarter, Chamkarmon District, Phnom Penh 12207', 'Minister responsible': 'Prak Sokhonn, Minister of Foreign Affairs and International Cooperation', 'Website': 'www.mfaic.gov.kh'}"
Cambodia,Ministry of Commerce,1996,"The Ministry of Commerce is the government ministry responsible for regulating and promoting commerce and trade of Cambodia. It works both domestically and internationally, and within the context of ASEAN, to create opportunities and a good working environment for producers and exporters.",http://www.moc.gov.kh/,"Phnom Penh, Cambodia",,"{'ក្រសួងពាណិជ្ជកម្ម': 'ក្រសួងពាណិជ្ជកម្ម', nan: nan, 'Agency overview': 'Agency overview', 'Formed': '1996', 'Jurisdiction': 'Government of Cambodia', 'Headquarters': 'Phnom Penh, Cambodia', 'Minister responsible': 'Pan Sorasak, Minister of Commerce', 'Website': 'http://www.moc.gov.kh/'}"
Cambodia,National Institute of Statistics of Cambodia,,"The National Institute of Statistics is the branch of the Cambodian Ministry of Planning responsible for the collection, processing, and dissemination of official national statistics.",,,,
Cambodia,"Ministry of Education, Youth and Sport",24 January 1996,"The Ministry of Education, Youth and Sport is the government ministry responsible for promoting and regulating education, youth and sport development, in Cambodia.As of 2020, the Minister of Education, Youth and Sport is Dr. Hang Chuon Naron The ministry's main offices are in Phnom Penh.",www.moeys.gov.kh/,"80 Preah Norodom Blvd. Sangkat Phsar Kandal, Phnom Penh, Cambodia 12205",,"{'ក្រសួងអប់រំ យុវជន និងកីឡា': 'ក្រសួងអប់រំ យុវជន និងកីឡា', nan: nan, 'Agency overview': 'Agency overview', 'Formed': '24 January 1996', 'Jurisdiction': 'Government of Cambodia', 'Headquarters': '80 Preah Norodom Blvd. Sangkat Phsar Kandal, Phnom Penh, Cambodia 12205', 'Annual budget': '$915,000,000 (2019)', 'Minister responsible': 'Dr. Hang Chuon Naron, Minister of Education, Youth and Sport', 'Website': 'www.moeys.gov.kh/'}"
Cambodia,Electricity Authority of Cambodia,,"The Electricity Authority of Cambodia, Khmer: អាជ្ញាធរអគ្គិសនីកម្ពុជា is an autonomous government agency responsible for managing and administering the provision of electric power in Cambodia.",,,,
Cambodia,Sihanoukville Autonomous Port,,"Sihanoukville Autonomous Port or Port Autonome de Sihanoukville is a government agency and state corporation of Cambodia and Sihanoukville that operates and governs the country's sole deep water port. In Sihanoukville, on the Bay of Kompong Som of the Gulf of Thailand in south-western Cambodia.",Websitewww.pas.gov.kh,,,"{'international port of sihanoukville': 'International Port of Sihanoukville', 'location': 'Sihanoukville Province', 'country': 'Cambodia', 'coordinates': '10°38.73′N 103°29.82′E\ufeff / \ufeff10.64550°N 103.49700°ECoordinates: 10°38.73′N 103°29.82′E\ufeff / \ufeff10.64550°N 103.49700°E', 'details': 'Details', 'opened': '1960', 'operated by': 'Port Autonome de Sihanoukville', 'owned by': 'Royal Government of Cambodia', 'land area': '125 hectare', 'available berths': '9', 'employees': '1000', 'chairman and ceo': 'Lou Kim Chhun', 'unctad code': 'KHKOS', 'statistics': 'Statistics', 'websitewww.pas.gov.kh': 'Websitewww.pas.gov.kh'}"
Cambodia,Ministry of Culture and Fine Arts,October 1997,"The Ministry of Culture and Fine Arts is the government ministry with a mandate to promote, encourage and support the fine arts of Cambodia.",http://www.mcfa.gov.kh,"227 Preah Norodom Blvd. Sangkat Phsar Kandal, Phnom Penh, Cambodia 12205",,"{'ក្រសួងវប្បធម៌ និងវិចិត្រសិល្បៈ': 'ក្រសួងវប្បធម៌ និងវិចិត្រសិល្បៈ', nan: nan, 'Agency overview': 'Agency overview', 'Formed': 'October 1997', 'Jurisdiction': 'Government of Cambodia', 'Headquarters': '227 Preah Norodom Blvd. Sangkat Phsar Kandal, Phnom Penh, Cambodia 12205', 'Minister responsible': 'Phoeurng Sackona, Minister of Culture and Fine Arts', 'Website': 'http://www.mcfa.gov.kh'}"
Cambodia,National Malaria Center of Cambodia,,"The National Center for Parasitology, Entomology and Malaria Control is a government agency responsible for directing and supervising the control of vector-borne disease in Cambodia. In conjunction with disease control the Center creates health education programs and manages scientific research projects.",,,,
Cambodia,Ministry of Information,1993,The Ministry of Information is the government ministry in charge of media and information in Cambodia. The current Minister of Information is Khieu Kanharith.,information.gov.kh,"62 Preah Monivong Blvd, Sangkat Chras Chork, Daun Penh, Phnom Penh",,"{'ក្រសួងព័ត៌មាន': 'ក្រសួងព័ត៌មាន', nan: nan, 'Agency overview': 'Agency overview', 'Formed': '1993', 'Jurisdiction': 'Government of Cambodia', 'Headquarters': '62 Preah Monivong Blvd, Sangkat Chras Chork, Daun Penh, Phnom Penh', 'Minister responsible': 'Khieu Kanharith', 'Website': 'information.gov.kh'}"
Cambodia,Ministry of Health of Cambodia,1993,"The Ministry of Health is the government ministry responsible for governing healthcare, the healthcare industry, public health and health-related NGOs in Cambodia. The Ministry governs and regulates the activity of medical professionals, hospitals and clinics in the country.",moh.gov.kh,"151 Kampuchea Krom Blvd, Phnom Penh, Cambodia",,"{nan: nan, 'Agency overview': 'Agency overview', 'Formed': '1993', 'Jurisdiction': 'Royal Government of Cambodia', 'Headquarters': '151 Kampuchea Krom Blvd, Phnom Penh, Cambodia', 'Minister responsible': 'Mam Bunheng (CPP), Minister of Health', 'Website': 'moh.gov.kh'}"
Cambodia,Ministry of Interior,,The Ministry of the Interior is the Interior Ministry of the Kingdom of Cambodia. The ministry has a broad mandate and is responsible for public administration throughout Cambodia's 25 capital city-provinces and 203 district/Khan/Municipality.,www.interior.gov.kh,"275 Preah Norodom Blvd, Chamkarmon, Phnom Penh",,"{'.mw-parser-output .nobold{font-weight:normal}ក្រសួងមហាផ្ទៃKrasuong Mohapatey': '.mw-parser-output .nobold{font-weight:normal}ក្រសួងមហាផ្ទៃKrasuong Mohapatey', nan: nan, 'Agency overview': 'Agency overview', 'Jurisdiction': 'Cambodia', 'Headquarters': '275 Preah Norodom Blvd, Chamkarmon, Phnom Penh', 'Minister responsible': 'Sar Kheng, Minister of Interior', 'Website': 'www.interior.gov.kh'}"
Cambodia,National Election Committee of Cambodia,19 December 1997,"The National Election Committee is an independent agency that supervises the national elections of Cambodia.Its official motto is ""Independence, Neutrality, Truthfulness, Justice, and Transparency"".",www.nec.gov.kh,"275 Preah Norodom Blvd. Sangkat Tonle Bassac, Phnom Penh 12301",,"{'(NEC)': '(NEC)', nan: nan, 'Committee overview': 'Committee overview', 'Formed': '19 December 1997', 'Jurisdiction': 'Cambodia', 'Headquarters': '275 Preah Norodom Blvd. Sangkat Tonle Bassac, Phnom Penh 12301', 'Annual budget': '$21,000,000 (2013)', 'Committee executive': 'Sik Bun Hok, Chairman', 'Website': 'www.nec.gov.kh'}"
Cambodia,Ministry of National Defense,1953,The Ministry of National Defense is charged with supervising all agencies and functions of the government relating directly to national security and the Royal Cambodian Armed Forces. The current Minister of National Defense is Tea Banh.,http://www.mod.gov.kh,"175 Russian Federation Blvd. Sangkat Mittapheap, Phnom Penh 12156",,"{'ក្រសួងការពារជាតិ': 'ក្រសួងការពារជាតិ', nan: nan, 'Agency overview': 'Agency overview', 'Formed': '1953', 'Jurisdiction': 'Government of Cambodia', 'Headquarters': '175 Russian Federation Blvd. Sangkat Mittapheap, Phnom Penh 12156', 'Annual budget': '$245,000,000 (2012) [1]', 'Minister responsible': 'Gen. Samdech Tea Banh, Minister of National Defense', 'Website': 'http://www.mod.gov.kh'}"
Cambodia,National Bank of Cambodia,,"The National Bank of Cambodia, located in Phnom Penh, is the central bank of Cambodia. The bank's duties include, inter alia, the management of monetary and exchange policies, the regulation of banks and financial institutions, and the control of the national currency, the riel.",[2],"Phnom Penh, Cambodia",,"{'logoheadquarters': 'LogoHeadquarters', 'logo': 'Headquarters', 'headquarters': 'Phnom Penh, Cambodia', 'established': '23\xa0December 1954; 65\xa0years ago', 'ownership': '100% state ownership[1]', 'governor': 'Chea Chanto', 'central\xa0bank\xa0of': 'Cambodia', 'currency': 'Riel', 'reserves': '6 760 million USD[1]', 'website': '[2]'}"
Cambodia,Ministry of Tourism,,The Ministry of Tourism is a government ministry of Cambodia.The current Minister of Tourism is Dr. Thong Khon.,,,,"{'ក្រសួងទេសចរណ៍': 'ក្រសួងទេសចរណ៍', nan: nan, 'Agency overview': 'Agency overview', 'Jurisdiction': 'Cambodia', 'Minister responsible': 'Dr. Thong Khon, Minister of Tourism'}"
Cambodia,Ministry of Women's Affairs,1993 (as Ministry of Women and Veterans' Affairs),The Ministry of Women's Affairs is a government ministry responsible for women affairs in Cambodia. It was established in 1993 as the Ministry of Women and Veterans' Affairs. Its minister since 2004 is Dr. Ing Kuntha Phavi.,mwa.gov.kh,"Phnom Penh, Cambodia",Royal Government of Cambodia,"{'.mw-parser-output .nobold{font-weight:normal}ក្រសួងកិច្ចការនារី': '.mw-parser-output .nobold{font-weight:normal}ក្រសួងកិច្ចការនារី', 'agency overview': 'Agency overview', 'formed': ""1993 (as Ministry of Women and Veterans' Affairs)"", 'jurisdiction': 'Royal Government of Cambodia', 'headquarters': 'Phnom Penh, Cambodia', 'minister responsible': ""Dr. Ing Kuntha Phavi, Minister of Women's Affairs"", 'website': 'mwa.gov.kh'}"
Cambodia,Law enforcement in Cambodia,,"Law enforcement in Cambodia is handled by the Cambodian National Police, one of three General Departments within the Ministry of the Interior. The National Police numbers 64,000 and is divided into four autonomous units and five central departments.",,,,
Cambodia,Constitutional Council (Cambodia),,,,,,"{'ក្រុមប្រឹក្សាធម្មនុញ្ញ': 'ក្រុមប្រឹក្សាធម្មនុញ្ញ', 'established': '24\xa0September 1993; 26\xa0years ago', 'location': 'Chamkarmon State Palace Phnom Penh, Cambodia', 'number of positions': '9', 'president of the constitutional council': 'President of the Constitutional Council', 'currently': 'Im Chhun Lim', 'since': '2016'}"
Canada,Treasury Board,1867,The Treasury Board is the central agency that reviews and approves spending by the Government of Canada. The President of the Treasury Board is a member of the federal Cabinet.,https://www.canada.ca/en/treasury-board-secretariat.html,,Government of Canada,"{'formed': '1867', 'jurisdiction': 'Government of Canada', 'minister responsible': 'Jean-Yves Duclos', 'parent department': ""Queen's Privy Council for Canada"", 'website': 'https://www.canada.ca/en/treasury-board-secretariat.html'}"
Canada,Health Canada,1993,"Health Canada is the department of the Government of Canada that is responsible for the country's federal health policy, overseen by the Minister of Health as part of their Health Portfolio.",www.hc-sc.gc.ca,,,"{'Santé Canada': 'Santé Canada', nan: nan, 'Department overview': 'Department overview', 'Formed': '1993', 'Type': 'Department responsible for federal health policy in Canada', 'Jurisdiction': 'Canada', 'Employees': '10 794 (March 2019)[1]', 'Annual budget': '$2.4 billion (2018-19)[2]', 'Minister responsible': 'Hon. Patty Hajdu, Minister of Health', 'Department executive': 'Dr. Stephen Lucas, Deputy Minister', 'Website': 'www.hc-sc.gc.ca'}"
Canada,"Innovation, Science and Economic Development Canada",1993 (as Industry Canada),"Innovation, Science and Economic Development Canada, is the department of the Government of Canada with a mandate of fostering a growing, competitive, and knowledge-based Canadian economy.",http://www.ic.gc.ca,,,"{'Innovation, Sciences et Développement économique Canada': 'Innovation, Sciences et Développement économique Canada', nan: nan, 'Department overview': 'Department overview', 'Formed': '1993 (as Industry Canada)', 'Type': 'Department responsible for Business Development Bank of Canada Canadian Space Agency Competition Bureau[3] Destination Canada and Tribunal Intellectual property and copyright administration and arbitration Regional Economic Development Agencies Statistics Canada National, Social Sciences and Humanities, and Natural Sciences and Engineering Research Councils Measurement Canada[4] More...', 'Jurisdiction': 'Canada', 'Employees': '4,802 (2016–17)[1]', 'Annual budget': 'C$ 4.9 billion (2015)[2]', 'Ministers responsible': 'Hon. Navdeep Bains, Minister of Innovation, Science and IndustryHon Mélanie Joly, Minister of Economic Development and Official Languages', 'Department executive': 'Simon Kennedy, Deputy Minister', 'Website': 'http://www.ic.gc.ca'}"
Canada,Canada Revenue Agency,"November 1999formed by Canada Revenue Agency Act, 1999[1]","The Canada Revenue Agency is the revenue service of the Government of Canada. The CRA collects taxes, administers tax law and policy, and delivers benefit programs and tax credits for the federal government and most provincial and territorial governments. It also oversees the registration of charities in Canada.",www.canada.ca/en/revenue-agency,"Connaught Building555 Mackenzie AvenueOttawa, Ontario, K1A 0L545°25′35″N 75°41′41″W﻿ / ﻿45.42639°N 75.69472°W",,"{'Agence du revenu du Canada': 'Agence du revenu du Canada', nan: nan, 'Agency overview': 'Agency overview', 'Formed': 'November 1999formed by Canada Revenue Agency Act, 1999[1]', 'Preceding': 'Canada Customs and Revenue Agency', 'Type': 'Revenue service', 'Jurisdiction': 'Canada', 'Headquarters': 'Connaught Building555 Mackenzie AvenueOttawa, Ontario, K1A 0L545°25′35″N 75°41′41″W\ufeff / \ufeff45.42639°N 75.69472°W', 'Employees': '43,908 (March 2019) [2]', 'Annual budget': '$5.1 billion (2018–19) [3]', 'Minister responsible': 'Hon. Diane Lebouthillier, Minister of National Revenue', 'Agency executives': 'Bob Hamilton, CommissionerChristine Donoghue, Deputy Commissioner', 'Child agency': ""Office of the Taxpayers' Ombudsman"", 'Website': 'www.canada.ca/en/revenue-agency'}"
Canada,Service Canada,"September 14, 2005","Service Canada is the program operated by Employment and Social Development Canada to serve as a single-point of access for the Government of Canada's largest and most heavily used programs, such as the Social Insurance Number, the Employment Insurance program, the Old Age Security program and the Canada Pension Plan.",servicecanada.gc.ca,,,"{nan: nan, 'Program overview': 'Program overview', 'Formed': 'September\xa014,\xa02005', 'Minister responsible': 'Hon. Ahmed Hussen, Minister of Families, Children and Social Development', 'Program executive': 'Lori MacDonald, Senior Associate Deputy Minister & Chief Operating Officer', 'Parent department': 'Employment and Social Development Canada', 'Website': 'servicecanada.gc.ca'}"
Canada,Royal Canadian Mounted Police,1 February 1920, 100 years ago[4],"The Royal Canadian Mounted Police is the federal and national police service of Canada, providing law enforcement at the federal level.",Website,,1 February 1920
Canada,Public Services and Procurement Canada,1996,Public Services and Procurement Canada is the department of the Government of Canada with responsibility for the government's internal servicing and administration.,www.tpsgc-pwgsc.gc.ca,,,"{'Services publics et Approvisionnement Canada': 'Services publics et Approvisionnement Canada', nan: nan, 'Department overview': 'Department overview', 'Formed': '1996', 'Type': 'Departmentresponsible for', 'Employees': '12,000[1]', 'Minister responsible': 'Hon. Anita Anand, Minister of Public Services and Procurement and Receiver General for Canada', 'Department executive': 'Bill Matthews, Deputy Minister and Deputy Receiver General for Canada', 'Website': 'www.tpsgc-pwgsc.gc.ca'}"
Canada,Parks Canada,"May 19, 1911; 109 years ago","Parks Canada, is an agency of the Government of Canada run by a chief executive who answers to the Minister of the Environment and Climate Change.",www.pc.gc.ca,"Gatineau, Quebec, Canada",,"{'Parcs Canada': 'Parcs Canada', nan: nan, 'Agency overview': 'Agency overview', 'Formed': 'May\xa019, 1911; 109\xa0years ago', 'Jurisdiction': 'Government of Canada', 'Headquarters': 'Gatineau, Quebec, Canada', 'Employees': '5566 (Full-time Equivalent; 2018-19)', 'Annual budget': '$1.5 billion (CAD; 2018-19)', 'Minister responsible': 'Hon. Jonathan Wilkinson, Minister of Environment and Climate Change', 'Agency executive': 'Ron Hallman, Chief Executive Officer', 'Website': 'www.pc.gc.ca', 'Footnotes': 'Footnotes', 'Reference[1]': 'Reference[1]'}"
Canada,Department of Canadian Heritage,1993,"The Department of Canadian Heritage, or simply Canadian Heritage, is the department of the Government of Canada that has roles and responsibilities related to initiatives that promote and support ""Canadian identity and values, cultural development, and heritage"".",www.canada.ca/canadian-heritage,,,"{'Patrimoine canadien': 'Patrimoine canadien', nan: nan, 'Department overview': 'Department overview', 'Formed': '1993', 'Type': 'Department responsible for Citizenship, Heritage and RegionsCultural AffairsSports, Major Events and CommemorationsStrategic policy, Planning and Corporate Affairs', 'Jurisdiction': 'Canada', 'Annual budget': 'CAD$ 3.9 billion (2018)[1]', 'Ministers responsible': 'Hon. Steven Guilbeault, Minister of Canadian HeritageHon. Kirsty Duncan, Minister of Science and SportHon. Mélanie Joly, Minister of Tourism, Official Languages and La Francophonie', 'Deputy Minister responsible': 'Hélène Laurendeau', 'Website': 'www.canada.ca/canadian-heritage'}"
Canada,Canadian Food Inspection Agency,April 1997,"The Canadian Food Inspection Agency is a regulatory agency that is dedicated to the safeguarding of food, plants, and animals, thus enhancing the health and well-being of Canada's people, environment and economy.",http://www.inspection.gc.ca,,,"{""Agence canadienne d'inspection des aliments"": ""Agence canadienne d'inspection des aliments"", nan: nan, 'Agency overview': 'Agency overview', 'Formed': 'April 1997', 'Jurisdiction': 'Government of Canada', 'Motto': 'Fides Publica - Integritas - Scientia', 'Employees': '7,000+', 'Minister responsible': 'Ginette Petitpas Taylor, Minister of Health', 'Agency executives': 'Siddika Mithani, President[1]France Pégeot, Executive Vice-President[2]', 'Website': 'http://www.inspection.gc.ca'}"
Canada,Bank of Canada - Banque du Canada,,"The Bank of Canada is a Crown corporation and Canada's central bank. Chartered in 1934 under the Bank of Canada Act, it is responsible for formulating Canada's monetary policy, and for the promotion of a safe and sound financial system within Canada.",,,,
Canada,Department of Justice,1868,"The Department of Justice is a department of the Government of Canada that represents the Canadian government in legal matters. The Department of Justice works to ensure that Canada's justice system is as fair, accessible and efficient as possible.",canada.justice.gc.ca,,,"{'Ministère de la Justice': 'Ministère de la Justice', nan: nan, 'Department overview': 'Department overview', 'Formed': '1868', 'Type': 'Department responsible for oversight of the Canadian justice system', 'Jurisdiction': 'Canada', 'Employees': 'Over 5,000', 'Ministers responsible': 'Hon. David Lametti, Minister of Justice and Attorney General of CanadaArif Virani, Parliamentary Secretary to the Minister of Justice and Attorney General of Canada', 'Department executive': 'Nathalie G. Drouin, Deputy Minister of Justice and Deputy Attorney General of Canada', 'Child Department': 'Public Prosecution Service of Canada', 'Website': 'canada.justice.gc.ca'}"
Canada,Environment and Climate Change Canada,1971,Environment and Climate Change Canada is the department of the Government of Canada created under the Department of the Environment Act with responsibility for coordinating environmental policies and programs as well as preserving and enhancing the natural environment and renewable resources.,www.ec.gc.ca/default.asp,,,"{'Environnement et Changement climatique Canada': 'Environnement et Changement climatique Canada', nan: nan, 'Department overview': 'Department overview', 'Formed': '1971', 'Type': 'Department responsible for coordinating environmental policies and programs', 'Jurisdiction': 'Canada', 'Employees': '~6800[1]', 'Minister responsible': 'Hon. Jonathan Wilkinson, Minister of Environment and Climate Change', 'Department executive': 'Christine Hogan, Deputy Minister', 'Child agencies': 'Meteorological Service of CanadaParks CanadaCanadian Ice ServiceImpact Assessment Agency of CanadaWater Survey of CanadaNational Pollutant Release Inventory', 'Website': 'www.ec.gc.ca/default.asp'}"
Canada,Global Affairs Canada,1909as Department of External Affairs,"Global Affairs Canada, incorporated as the Department of Foreign Affairs, Trade and Development, is the department of the Government of Canada that manages Canada's diplomatic and consular relations, encourages Canadian international trade, and leads Canada's international development and humanitarian assistance.",www.international.gc.ca,,,"{'Affaires mondiales Canada': 'Affaires mondiales Canada', nan: nan, 'Department overview': 'Department overview', 'Formed': '1909as Department of External Affairs', 'Type': 'Department responsible for Foreign relations International trade Consular services International development Humanitarian assistance', 'Jurisdiction': 'Canada', 'Employees': '6561 (March 2019)', 'Annual budget': 'C$7.1 billion (2018–19)', 'Ministers responsible': 'François-Philippe Champagne, Minister of Foreign AffairsKarina Gould, Minister of International DevelopmentMary Ng, Minister of Small Business, Export Promotion and International Trade', 'Deputy Ministers responsible': 'Marta Morgan, Deputy Minister of Foreign AffairsJohn Hannaford, Deputy Minister of International TradeLeslie MacLean, Deputy Minister of International DevelopmentChristopher MacLennan, Assoc. Deputy Minister of Foreign Affairs', 'Website': 'www.international.gc.ca', 'Footnotes': 'Footnotes', 'References[1][2]': 'References[1][2]'}"
Canada,Department of National Defence,1923formed by the National Defence Act,"The Department of National Defence is a Canadian government department responsible, through the Minister of National Defence to Canadian Parliament, for defending Canada's interests and values at home and abroad.",forces.gc.ca,"Major-General George R Pearkes Building, Ottawa, Ontario, Canada",,"{'Ministère de la Défense nationale': 'Ministère de la Défense nationale', nan: nan, 'Department overview': 'Department overview', 'Formed': '1923formed by the National Defence Act', 'Preceding Department': 'Department of Militia and DefenceDepartment of Naval ServicesAir Board', 'Jurisdiction': 'Government of Canada', 'Headquarters': 'Major-General George R Pearkes Building, Ottawa, Ontario, Canada', 'Employees': '24,000[1]', 'Annual budget': 'CA$21.16 billion,[2] (2019-2020)', 'Ministers responsible': 'Harjit Sajjan, Minister of National DefenceLawrence MacAulay, Associate Minister of National Defence and Minister of Veterans Affairs', 'Department executive': 'Jody Thomas, Deputy Minister of National Defence', 'Website': 'forces.gc.ca'}"
Canada,Privy Council Office,1867,"The Privy Council Office is the secretariat of the federal cabinet of Canada, which is a committee of the Queen's Privy Council for Canada, and provides non-partisan advice and support to the Canadian ministry, as well as leadership, coordination, and support to the departments and agencies of government.",http://pco-bcp.gc.ca,"Office of the Prime Minister and Privy Council building, 80 Wellington Street, Ottawa, Ontario, Canada",,"{'Bureau du Conseil privé': 'Bureau du Conseil privé', nan: nan, 'Agency overview': 'Agency overview', 'Formed': '1867', 'Jurisdiction': 'Government of Canada', 'Headquarters': 'Office of the Prime Minister and Privy Council building, 80 Wellington Street, Ottawa, Ontario, Canada', 'Employees': '1169', 'Annual budget': 'C$144.9 m (2017-18)', 'Ministers responsible': 'Rt. Hon. Justin Trudeau, Prime MinisterHon. Chrystia Freeland, Deputy Prime Minister and Minister of Intergovernmental AffairsHon. Pablo Rodríguez, Leader of the Government in the House of CommonsHon. Dominic LeBlanc, President of the Privy Council', 'Agency executive': 'Ian Shugart, Clerk of the Privy Council', 'Website': 'http://pco-bcp.gc.ca', 'Footnotes': 'Footnotes', '[1][2][3]': '[1][2][3]'}"
Canada,Public Health Agency of Canada,2004,"The Public Health Agency of Canada is an agency of the Government of Canada that is responsible for public health, emergency preparedness and response, and infectious and chronic disease control and prevention.",www.phac-aspc.gc.ca,"Ottawa, Ontario",,"{'Agence de la santé publique du Canada': 'Agence de la santé publique du Canada', nan: nan, 'Agency overview': 'Agency overview', 'Formed': '2004', 'Preceding agency': ""Health Canada's Population and Public Health Branch"", 'Jurisdiction': 'Government of Canada', 'Headquarters': 'Ottawa, Ontario', 'Employees': '2,379 (March 2019)[1]', 'Annual budget': '$675.4 million (2018–19)[2]', 'Minister responsible': 'Hon. Patty Hajdu, Minister of Health', 'Agency executives': 'Tina Namiesniowski, President of the Public Health Agency of CanadaDr. Theresa Tam, Chief Public Health Officer', 'Parent department': 'Health Canada', 'Child agencies': 'National Microbiology Laboratory, Centre for Infectious Disease Prevention and Control (CIDPC), Centre for Emergency Preparedness and Response (CEPR), Laboratory for Foodborne Zoonoses (LFZ),Pandemic Preparedness Secretariat (PPS)Health Promotion and Chronic Disease Prevention Branch (HPCDP)Centre for Chronic Disease Prevention and Control (CCDPC), Centre for Health Promotion (CHP), Transfer Payment Services and Accountability Division, Public Health Practice (PHPRO), Office of Public Health Practice (OPHP), Strategic Policy, Communications and Corporate Services Branch (SPCCS)', 'Key document': 'Public Health Agency of Canada Act – S.C. 2006, c. 5', 'Website': 'www.phac-aspc.gc.ca'}"
Canada,"Immigration, Refugees and Citizenship Canada",1994,"Immigration, Refugees and Citizenship Canada is the department of the Government of Canada with responsibility for matters dealing with immigration to Canada, refugees, and Canadian citizenship.",www.cic.gc.ca,,,"{'Immigration, Réfugiés et Citoyenneté Canada': 'Immigration, Réfugiés et Citoyenneté Canada', nan: nan, 'Department overview': 'Department overview', 'Formed': '1994', 'Type': 'Responsible for Immigration Citizenship Refugees', 'Jurisdiction': 'Canada', 'Employees': '7300', 'Ministers responsible': 'Hon. Marco Mendicino, Minister of Immigration, Refugees and CitizenshipSoraya Martinez Ferrada, Parliamentary Secretary to the Minister of Immigration, Refugees and Citizenship', 'Deputy Minister responsible': 'Catrina Tapley', 'Website': 'www.cic.gc.ca'}"
